Steps,LER
1,0.19554908988402062
10,0.17566043814432988
20,0.17229784149484537
30,0.17160820715206185
40,0.17059640786082475
50,0.17172901900773196
60,0.17055613724226804
70,0.17109979059278352
80,0.17071721971649484
90,0.17101924935567012
100,0.17124577158505155
110,0.17167868073453607
120,0.17106958762886598
130,0.17088333601804123
140,0.17127094072164947
150,0.17118536565721648
160,0.171472293814433
170,0.17111489207474226
180,0.1711450950386598
190,0.1709789787371134
200,0.171301143685567
