Steps,LER,BER,Throughput
1,0.7530999599358974,0.1294779981303419,8814.509860580814
10,0.7294070512820513,0.1280235877403846,639.1082895452207
20,0.7267427884615385,0.12843424479166668,313.7196206148287
30,0.725,0.12853753505608975,210.67641881007998
40,0.724444110576923,0.12870467748397435,157.03487579908116
50,0.7240735176282052,0.12887411525106837,126.42636225707535
60,0.7237930689102564,0.12898804754273505,104.86600826556808
70,0.7237930689102564,0.12908111311431625,89.95626337477242
80,0.7238131009615385,0.12917918669871795,78.87244879806863
90,0.7235526842948717,0.1292499248798077,76.9449576556705
100,0.7234375,0.12931461171207265,97.45743074661802
200,0.7234875801282051,0.12966058193108973,48.79182325501661
