Steps,LER,BER,Throughput
1,0.0008313301282051282,0.00013542501335470086,14139.077666429788
10,0.0019931891025641024,0.0004369491185897436,1619.040282794484
20,0.0028946314102564104,0.0006831764155982906,478.80666930535966
30,0.0038661858974358976,0.0009327423878205129,261.0698855454454
40,0.0040414663461538465,0.0009815705128205128,196.28790736935488
50,0.00433193108974359,0.0010932074652777778,156.83730118319275
60,0.004707532051282051,0.0011812650240384615,130.48916451116435
70,0.00484775641025641,0.0011902377136752138,112.54724381748449
80,0.005068108974358975,0.0012659839075854701,98.51727155089294
90,0.005013020833333334,0.0012576372195512821,87.56004248257322
100,0.00511318108974359,0.0012864332932692308,78.70914748388097
200,0.005679086538461538,0.001470477764423077,39.253163545378065
