Steps,LER,BER,Throughput
1,0.099609375,0.01486503405448718,7786.716351785368
10,0.08388922275641025,0.012884782318376068,831.8437687247283
20,0.08186097756410256,0.012296549479166667,429.63443647022814
30,0.08103966346153846,0.01201568342681624,286.4634571692385
40,0.08048377403846153,0.011852714342948718,212.403039682095
50,0.08061398237179487,0.011741912059294871,169.58812585630392
60,0.07982772435897435,0.011578525641025642,141.0594788932184
70,0.0800380608974359,0.011619215745192308,120.95029126059923
80,0.0800380608974359,0.011531784188034189,105.86746812425811
90,0.07996794871794871,0.011485877403846155,112.06552547454554
100,0.07979767628205128,0.01142223390758547,169.17169537437917
200,0.07954226762820513,0.011311640291132479,84.58797713964506
