Steps,LER,BER,Throughput
1,0.0008964342948717948,0.0001483623798076923,29010.831372013814
10,0.0030849358974358973,0.0006650223691239316,3166.7138545819253
20,0.003901241987179487,0.000885166266025641,816.1142116649653
30,0.004387019230769231,0.0010220519497863248,487.6458240721625
40,0.004727564102564102,0.0011017628205128205,365.2691105036577
50,0.004697516025641025,0.0011245075454059828,294.52102103533343
60,0.004877804487179487,0.0011816823584401709,246.9017490994468
70,0.004827724358974359,0.0011497562767094017,211.878118909219
80,0.005008012820512821,0.001205470419337607,184.99971866199715
90,0.005158253205128205,0.0012303018162393162,164.57124399658017
100,0.005103165064102564,0.0012152777777777778,148.1386741229026
200,0.005353565705128205,0.0013164813701923078,74.1052963964163
