Steps,LER,BER,Throughput
1,0.08914763621794872,0.012937575120192307,4057.560335513197
10,0.07397836538461539,0.010742813501602564,444.54322730095276
20,0.07261117788461538,0.01043106470352564,222.5641799256572
30,0.07226061698717949,0.010300230368589744,147.94134273820515
40,0.07204026442307693,0.010223440838675213,110.8453155206143
50,0.07186498397435898,0.010172943376068376,88.79399573809874
60,0.07182491987179487,0.010141225961538462,73.92871541281363
70,0.07179487179487179,0.010113890558226495,63.4014583913866
80,0.07176482371794872,0.01009677984775641,55.34670336564362
90,0.07169971955128206,0.010091145833333334,55.2888247855043
100,0.07162960737179487,0.01006214109241453,59.23821251057005
200,0.07150440705128205,0.010010600293803419,29.806197244007556
