Steps,LER,BER,Throughput
1,0.08904747596153846,0.012930689102564102,5559.9780680836875
10,0.07677784455128205,0.011314561631944444,490.4027784911475
20,0.07550080128205128,0.011094417735042736,220.75317812963996
30,0.0752353766025641,0.010996344150641026,147.92227256969755
40,0.0754306891025641,0.010977355435363248,110.48425849628451
50,0.07534054487179487,0.010950437366452992,88.69356299278525
60,0.0751552483974359,0.010937708667200854,73.97100889433997
70,0.07561097756410257,0.01100364750267094,63.43767938957831
80,0.0751201923076923,0.010925605969551283,55.3857873577307
90,0.075390625,0.010931448651175214,54.584153305842115
100,0.07542067307692307,0.010974225427350427,59.29960276474498
200,0.07552584134615385,0.010917676615918803,29.581845884658488
