Steps,LER,BER,Throughput
1,0.08914763621794872,0.012937575120192307,10328.824636107567
10,0.07857071314102564,0.011649889823717948,1695.5622811881244
20,0.07775440705128205,0.01142536391559829,528.1675564155007
30,0.07677784455128205,0.01125884748931624,561.5704748341774
40,0.07657752403846153,0.011172459268162393,423.3495320027812
50,0.07649739583333333,0.011215027377136751,337.87717167916816
60,0.07617688301282051,0.011090244391025642,281.92861622955496
70,0.0764423076923077,0.011109024439102564,242.38993469753441
80,0.07626201923076924,0.011111319778311967,211.6285216684032
90,0.07618689903846154,0.01104538094284188,187.58309378847903
100,0.07639222756410256,0.011078350360576923,168.90119921641832
200,0.07639222756410256,0.011026392227564102,84.4490462873266
